,job_title,job_location,advertiser,posted_date,salary,type_of_work,job_category,job_subcategory,job_description,job_searched,url,new_job_category,new_job_title,final_salary,experience_level
162,Senior Business Analyst - Data Analytics,All-Sydney-NSW,CHEP,15 Apr 2019,Competitive base salary + super + bonus,Full Time,Information & Communication Technology,Business/Systems Analysts," ASX listed global blue chip organisation | Market leader in supply chain and logistics Focus on business intelligence analytics | Interface between IT and the business Dynamic team environment | Great career growth opportunities Are you an experienced Senior Business Analyst in the Analytics space looking to join a global ASX listed organisation and take the next step in your career? As part of our Business Intelligence and Analytics team, your role will be responsible for the end to end project lifecycle delivery of business intelligence analytical services.  Reporting to the Senior Manager, Business Intelligence and Analytics, this position will be based at our North Ryde office. The key responsibilities of this role include:  Engaging with senior and operational business stakeholders to drive a range of reports, insights and analytical outcomes that deliver business value Managing the software development lifecycle from initiation to retirement Managing multiple programs of business intelligence initiatives, recommending goal oriented solutions that drive profitability and growth Championing the “voice of the customer”, acting as the interface between application developers and business stakeholders, translating and simplifying end user needs Analysing business requirements and documenting AS-IS and TO-BE processes that support business intelligence solutions Designing test strategies and driving UAT plans (HPQC) The ideal candidate will possess the following skills, experience and qualifications:  Tertiary qualifications in IT, Computer Science or a related discipline Certified BA Professional preferred (BABOK or equivalent) Strong business intelligence and data analytics experience Proven business analysis experience within a project delivery lifecycle with a strong track record of delivering innovative reporting and analytical solutions Experience with multiple softwares and applications including Visio, Powerpoint and MS Project.  Exposure to Qlik and/or other analytical platforms desirable Strong stakeholder management, time management and influential communication skills A self-starter with the ability to work both autonomously and within a team About CHEP CHEP is a global leader in supply chain logistics employing more than 14,000 people in 60+ countries. More than 300,000 supply chains choose to utilize CHEP products and solutions to optimize efficiencies and eliminate waste throughout the world. CHEP’s “share and reuse” core business offering pioneered the shared and circular economies more than 50 years ago. Today, the company provides consultative solutions surrounding the efficient and sustainable movement of goods—and manages a global pool of 300 million pallets and containers shared and reused by growers, raw material suppliers, manufacturers, wholesalers and retailers to produce, warehouse, transport and merchandise consumer and industrial goods. CHEP Australia offers a range of employee benefits including a competitive salary, bonus opportunities, a supportive learning and development culture and a wide range of opportunities to assist you in achieving your career aspirations.  CHEP Australia, as part of Brambles, provides you unparalleled opportunities to advance and accelerate your career and is large enough to take you anywhere and small enough to make sure you get there. With a focus on career pyramids instead of ladders, we move our people up and across functions and companies to deepen their transferable skills and acquire broader business experience. Our team boasts a friendly and fun culture that celebrates successes, with award winning engagement and enablement, and results achieved through collective intelligence, collaboration and teamwork. With a highly inclusive workplace rich in diversity, CHEP Australia celebrates the diversity of thought, backgrounds, style and working arrangements of our people to ensure that we reflect the communities and customers that we serve. Join our team to be part of an international growth company with an advanced business model. You’ll be working for a company that is changing the way goods get to market. You’ll optimize 300,000 supply chains instead of just one. You’ll join an efficient and collaborative team who punches above its weight. You’ll be working for the good of humanity. Interested? To apply please click the ‘Apply Now’ button below.  Please include a covering letter with your resume outlining how your skills, qualifications and experience address the above criteria. Agencies please note: recruitment for this position is being managed directly by CHEP Australia. We will reach out to our preferred agency partners in the rare instance we require additional talent options. Your respect for this process is appreciated. In order for your application to be considered, you will require full working rights in Australia. We are unable to offer sponsorship at this time.  ",data-analyst,https://www.seek.com.au/job/38822226?type=standout&searchrequesttoken=6e580e6b-7817-4e1f-8524-764556de3491,Information Technology,data analyst,300000.0,Senior_level
165,Business Analyst - Data ,All-Sydney-NSW,Aurec,15 Apr 2019,Genuine Flx + Huge Scope + Senior Rates,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"Are you a Business Analyst with experience working for a complex & fast-paced organisation seeking a contract with longevity & a large project scope.  This firm have a great industry reputation and are known for their innovative approach to technology and contractor growth & retention.    If this sounds like you & you're ready for the next challenge working for a massive brand, hit the Apply for this job button now to find out more!   You are:  Ideally you are a Business Analyst with a background in the financial services, telco or insurance & you will consider yourself very knowledgeable and are comfortable with SAS decommissioning, big data, data warehouse and data applications.   You’re a Business Analyst who takes ownership and who considers their stakeholder engagement skills to be as strong as their data understanding.   Versality will be a strength of yours, and you'll come with the ability to translate Business requirements into technical terms and vice versa, as well as being the type of person to follow a uniform process with an emphasis on repetition.    The role:  This Business Analyst role will see you deep diving into data warehouse on an vital data 'clean up' as this organisation move to be more insights driven.   It is important that you are a Business BA who is interchangeable as once you finish your initial project you'll move between other end-to-end projects ie. product / digital etc.  Traditional BA roles are less in demand and there will be an emphasis on upskilling BA's to have change management & release management skills.    They are:  They are a highly-respected, Tier-1 firm with who promote a healthy work/life balance & working smarter not harder.   You'll be joining a dynamic team working on multiple projects on a contract likely to last for 18 - 24 months within an organization that prides itself on staff retention and growth within the company.  They are known for being a great place to work, with an awesome site, gym, onsite restaurants, bars and cafes.   Requirements / Skills:   Strong end-to-end Business Analyst experienceExcellent Data skills and understandingExperience with data warehouse, big data, SAS decommissioning ectBanking/financial services background an advantageIdeally both Agile & Waterfall experienceExcellent verbal and written communicationAbility to navigate complex environments  This is a great opportunity - To apply, please submit your CV via the portal by clicking the APPLY for this job button below.",data-analyst,https://www.seek.com.au/job/38817714?type=standard&searchrequesttoken=6e580e6b-7817-4e1f-8524-764556de3491,Information Technology,data analyst,49920.0,Mid_level
170,Senior Data Analyst,All-Sydney-NSW,AKQA,10 Apr 2019,na,Full Time,Information & Communication Technology,Business/Systems Analysts,"At AKQA, we believe in the imaginative application of art and science to create beautiful ideas, products and services. With an entrepreneurial and collaborative approach, we design adaptive digital services and applications that capture the imagination, delivering impressive returns for our clients. As a Senior Data Analyst at AKQA, you’ll focus on generating insights from data, enabling us to optimise our clients’ business performance, whilst ensuring their own customers enjoy more relevant and personalised experiences. You’ll work closely with digital specialists from a range of strategy, creative and technology disciplines. And you’ll provide leadership and direction to more junior team members, whilst building valued partnerships with all your clients and colleagues. At AKQA, you’ll work in a meritocratic culture surrounded by some of the brightest minds in their fields. You’ll have the opportunity to learn and grow within a creative and technically advanced team, with access to ongoing personal and professional development. At AKQA, we’re committed to your career growth, as well as your work/life balance.   RESPONSIBILITIES:  Build a strong understanding of your clients’ business challenges and goals. Take a proactive approach to problem-solving, developing hypotheses and actionable insights from data sets related to everything from eCommerce shopping carts to online video. Prepare reports and create dashboards which give our clients information and insight into their business’ performance. Collaborate with technical engineers to integrate data platforms together. Design, deploy, analyse and optimise A/B and multivariate tests. Configure and deploy website tagging and analytics tools for site implementations, including custom events, variables and dimensions. Prepare presentations and present to senior-level clients, combining your ability to generate insights with your data manipulation and visualisation skills. Mentor team members and enhance the growth and reputation of AKQA and our Insights & Personalisation team.   SKILLS AND QUALIFICATIONS:  Experience with Adobe Analytics is a must. Experience with Google Analytics is a must. Experience with Adobe Experience Cloud products such as Target, Audience Manager and Tag Manager desired. Understanding of campaign tracking. Experience with Google Tag Manager and wider Google 360 suite desired. Ability to write basic code for data manipulation. High proficiency in MS Excel. Experience with Tableau or Power BI is highly regarded. Strong communication skills, enabling you to present insights with confidence and ‘tell a story’ with data. Enthusiastic, solution-focused attitude, with the determination to find the best outcome for all projects.   AKQA is an Equal Opportunities Employer, we believe that diversity is vital to AKQA's ability to provide our clients with the best recommendations and are committed to fostering a varied and inclusive work environment. Your race, colour, ancestry, religion, gender, gender identity, national origin, sexual orientation, age, marital status, disability or veteran status have no bearing on our hiring decisions. If you have a disability or special need that requires accommodation, please let us know.",data-analyst,https://www.seek.com.au/job/38589694?type=standard&searchrequesttoken=6e580e6b-7817-4e1f-8524-764556de3491,Information Technology,data analyst,93600.0,Senior_level
171,Senior Risk Assurance Analyst - Data Analytics ,All-Sydney-NSW,Ethos BeathChapman,18 Apr 2019,$120k + Super + Benefits,Full Time,Accounting,Systems Accounting & IT Audit,"As a Senior Risk & Assurance Analysts - Data Analytics you will be reporting to the Snr Manager Data - Risk & Assurance, who in turn reports to the Head of Risk & Assurance Analytics. The team operate a flat, highly collaborative culture with each team member encouraged to take ownership of projects and develop their stakeholder relationships within the business. This is a technical, hands-on role and all team members are multi-skilled. The team are very work/life balance oriented and offer lots of flexibility, within the needs of the business.Role requirements:Advanced experience in SQL for analysis purposes.Experience with Python as a tool for data analysis is desirable but not essential.Statistical modelling skills (ability to determine, design, build and execute an appropriate treatment).Some knowledge of common modelling and hypothesis testing techniques (Ex:. regression, decision trees, Monte Carlo, Pearsons chi-squared).Cluster analysis.Network analysis.Good understanding of the principles of data quality.Experience in data acquisition, discovery and modelling for analysis purposes.Outstanding stakeholder management skills.Flexibility and adaptability are a must, you will be required to work well under pressure with multiple competing deadlines and changing challenges.Strong communication and interpersonal skills. DesirableAudit, IT Audit or Risk experienceFinancial literacy experience with accounting processes, systems and data.Microsoft Data Transformation Service or SSIS.Experience with dynamic visualisation tools (e.g. Tableau, Qlikview, Qlik Sense)Some familiarity with RFor further information on this role or to confidentially apply, please send an up to date CV to leeu@ethosbc.com.au or/and contact Lee Unwin on 02 8227 9200 or apply directly via the Apply for this job button. Only WORD FORMAT resumes will be accepted.",data-analyst,https://www.seek.com.au/job/38848965?type=standout&searchrequesttoken=6e580e6b-7817-4e1f-8524-764556de3491,Financial Services,data analyst,120000.0,Senior_level
173,Business Analyst - Data Migration,All-Sydney-NSW,Torch Professional Services Pty Ltd,16 Apr 2019,$700 - $750/day incl super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"We are looking for an experienced and level headed Business Analyst to work on a high profile program of work involving Data Migration for an initial 6 month contract with the view to extend to 18months based on site with our client in NorWest.As the Data Migration Business Analyst you will be experienced and familiar working in large complex environments. You will work alongside another Torch Consultant, the Project Manager and together you will deliver two major streams including bringing an external data supplier into the cloud, as well as a Teredata Migration Project.Critical to the success of this role is the ability to deal with changing and/or conflicting priorities and taking responsibility for the determination of outcomes the company’s best interests. As this role will be managing multiple initiatives, priorities, and stakeholders, proven leadership and the ability to actively foster strong working relationships is required. To be considered for this role you will have;  5+ years’ experience working on data migration projects in a large complex environment as a Business Analyst. Business Requirements Specification / Detailed Business Requirements Specifications (BRS/DBRS) expressed as user Stories, Use Cases, Contextual/visual diagrams, Workflow diagrams and standard word/excel documents. User Experience Framework – Personas, Scenarios, Heuristic enquiry, Outcome assumption user and usability testing at all gates, recommendations for improvements, changes, roadmap. Input into UAT & BRT Test Strategy, Plan, Test cases, Test Summary Report – both from a functional system testing and usability perspective. Change Control/Management Reporting Disaster Recovery Deliverables - Business Continuity Plan BABOK Certification preferred Experience with Teredata projects preferred but not mandatory. A sense of humour and maturity to get on with the job  Australian Citizens and Permanent Residents are eligible to apply.This role is paying $700 - $750/day incl super depending on skills and experience.Please APPLY NOW by attaching you resume and we will contact you if your skills are deemed suited. Thank you, Torch Professional Services appreciates your interest. ",data-analyst,https://www.seek.com.au/job/38832758?type=standard&searchrequesttoken=6e580e6b-7817-4e1f-8524-764556de3491,Information Technology,data analyst,182000.0,Mid_level
177,Senior Data Analyst - Contract,All-Sydney-NSW,Thornhill Recruitment,12 Apr 2019,Excellent daily rate $$$,Contract/Temp,Science & Technology,"Mathematics, Statistics & Information Sciences","Thornhill is recruiting for a Contract Senior Data Analyst for a global financial services company. This is a long-term contract role on an attractive daily rate with a high-profile company in centrally located offices. You will work with a supportive and sociable team, made up of data specialists with outstanding talent and experience, on interesting and engaging projects in both production and research, focused on analysis of customer datasets. There is an option of extension or eventually moving into a permanent role with a path to management if desired. What we need from you:  Senior level data analytics experience, ideally in financial services or a product focused environment. Advanced SQL skills developed in a complex commercial environment. Data visualisation experience with a range of tools: Tableau, QlikView or MS Power BI. Strong communication skills with an outstanding ability to consult with and manage stakeholders across business units. This is a great contract opportunity to work with a global player in financial services, data and technology in a key senior level role using the latest data tech. The job is based close to public transport in beautiful modern offices and a great company culture in an accommodating and flexible work environment. If you’re excited about this role and committed to making a positive career change, please apply now or call Grant Lynn on 0481 862 275 to discuss the opportunity in confidence.",data-analyst,https://www.seek.com.au/job/38805847?type=standout&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,data analyst,224120.0,Senior_level
181,"Business Analyst - Long Contract, Agile, Data, Flx Hrs",All-Sydney-NSW,Aurec,8 Apr 2019,Long Contract + Onsite Facilities + Senior Rates,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"A top-tier firm seek a Business Analyst who is comfortable with data to join their team on a long contract with the opportunity to make a real impact. This is an organisation at the top of their game who understands the importance of a work/life balance & genuine flexibility?   If this sounds like you & you're ready for the next challenge working for a massive brand, hit the Apply for this job button now to find out more!   You are:  Ideally you are a Business Analyst with a background in the financial services, telco or insurance & you will consider yourself very knowledgeble and are comfortable with SAS decommissioning, big data, data warehouse and data applications.   You’re a Business Analyst who takes ownership and who considers their stakeholder engagement skills to be as strong as their data understanding.   Versality will be a strength of yours, and you'll come with the ability to translate Business requirements into technical terms and vice versa, as well as being the type of person to follow a uniform process with an emphasis on repetition.    The role:  This Business Analyst role will see you deep diving into data warehouse on an vital data 'clean up' as this organisation move to be more insights driven.   It is important that you are a Business BA who is interchangeable as once you finish your initial project you'll move between other end-to-end projects ie. product / digital etc.  Traditional BA roles are less in demand and there will be an emphasis on upskilling BA's to have change management & release management skills.    They are:  They are a highly-respected, Tier-1 firm with who promote a healthy work/life balance & working smarter not harder.   You'll be joining a dynamic team working on multiple projects on a contract likely to last for 18 - 24 months within an organization that prides itself on staff retention and growth within the company.  They are known for being a great place to work, with an awesome site, gym, onsite restaurants, bars and cafes.   Requirements / Skills:  Strong end-to-end Business Analyst experienceExcellent Data skills and understandingExperience with data warehouse, big data, SAS decommissioning ectBanking/financial services background an advantageIdeally both Agile & Waterfall experienceExcellent verbal and written communicationAbility to navigate complex environments  This is a great opportunity - To apply, please submit your CV via the portal by clicking the APPLY for this job button below.  You can also contact Danielle Barton directly.",data-analyst,https://www.seek.com.au/job/38762397?type=standard&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,data analyst,49920.0,Mid_level
183,Business Analyst - BI reporting,All-Sydney-NSW,M&T Resources,2 May 2019,Up to 611 + super - Sydney CBD,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"•    Sydney CBD•    Initial 6 month contract to extend further•    Up to $611 + Super The Client - NSW Government Agency based in Sydney CBD.The Role - You work collaboratively across 3-4 projects in a team of 3-4 people to gather stakeholder business requirements and translate into BI reporting solution. What experience you must have -  Medium to senior experience as BA with insurance or financial service background. Experienced working in BI Reporting projects Documentation of training material. Responsible for requirements gathering and validation, documenting as-is and to-be processes and engaging with business and technology stakeholders, Write and maintain the functional and non-functional requirements and/or Agile user stories Must have experience with JIRA/Confluence. Qlick and MS Vision are desirable.The next step is easy - Please click ‘apply for this job’ and submit your application with a MS WORD version of your CV. Otherwise, call Florent Campagne on 02 9259 8741 for more information.M&T Resources is an equal opportunities recruitment agency and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law. Follow us on LinkedIn for the latest insights and best opportunities from Australia's most influential organisations. http://www.linkedin.com/company/m-and-t-resources",data-analyst,https://www.seek.com.au/job/38932656?type=standard&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,data analyst,158860.0,Mid_level
184,Pricing Analyst - SAP Master Data - 6 month contract,All-Sydney-NSW,Ruralco,16 Apr 2019,na,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"Ruralco Holdings Limited is ASX listed and Australia’s leading agribusiness. With a national footprint of businesses specialising in providing rural customers with products and services in merchandise, fertiliser, wool, livestock, real estate, risk management, water services, grain, finance and insurance, ours is a diverse and evolving business. Our business is well positioned for growth and we are currently offering a great opportunity for a driven Pricing Analyst to join our head office team.   About the role: Reporting to the General Manager Data, the focus of your role will be maintenance of the highest level of data integrity standards and compliance requirements across national pricing. You will organize multiple data sources to support retail pricing analysis for our national rural merchandise businesses (over 300 stores and 500,000 product lines). Your job will be to maintain a pricing database for national pricing analysis including metrics to optimise retail margins. You will use analytics based on internal and external data sources to identify and drive new revenue opportunities and maximise value from existing accounts and competitor pricing data. You will continuously look for ways to improve pricing, maintain consistency and assisting in documenting newly agreed pricing strategies.   About you: To be successful you will have a business, commerce or finance related degree or equivalent. You will demonstrate experience in business intelligence, data insight or strategy and ideally have had exposure to SAP systems. Furthermore, you will have strong proficiency in data manipulation tools. You will stand out if you can demonstrate a high level of competency in data interpretation to create meaningful and actionable outputs, whilst also demonstrating commercial thinking and data driven decision making.   Ruralco including its subsidiaries is proud to be an equal opportunity employer. At Ruralco we believe that creating a diverse workforce will provide the best talent to achieve our strategy of being the leading Australian Agribusiness and Employer of Choice in our sector. We value integrity, accountability, loyalty, leadership, common sense and aiming high in all that we do.  Interested?   To join this diverse business offering the opportunity to develop and progress your career alongside like-minded people in a supportive environment, just click on the APPLY button below. To find out more about the Ruralco Group go to www.ruralco.com.au or click on the below and follow us on LinkedIn: We’re here for Australian Farmers.",data-analyst,https://www.seek.com.au/job/38829750?type=standout&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,data analyst,500000.0,Mid_level
185,Business Analyst ,All-Sydney-NSW,Paxus,6 May 2019,Up to $650 (incl super) p/d,Contract/Temp,Information & Communication Technology,Telecommunications,"Leading Telco client in North Sydney is seeking the service of a skilled Business Analyst with extensive experience in analytics & analysis of data and strong knowledge of completions processes or PNI Tools. Initial 12 month contract paying up to $650 (incl Super) per day. The Business Analyst will provide support in relation to process development and improvement; system enhancements and root cause assessments. The ideal incumbent will be required to have strong stakeholder engagement skills, dealing with internal teams and external vendors.Become key member of the Data Completions Delivery Change teamDuties - Business AnalystTimely provision of process documentation to the required level of detailBusiness requirements documented to required levels and UAT planning documentedDetermine the root cause of errors associated with tools or processesBuild strong relationships with key stakeholders to enable high adoption rate of change initiativesConduct workshops with key stakeholder groups to achieve required outcomesRequirements - Business Analyst Min 4 years Business Analyst experience in a highly complex environment coupled with an extensive experience in analytics and analysis of dataExperience in a matrixed commercial or operational function at a project level focused on cost effective data-orientated programs including improvement identification and requirements identificationDemonstrated ability to apply an understanding of project delivery principles, practices, methodologies and tools to undertake both high level and detailed initiativesStrong knowledge of Completions processes or PNI toolsGreen belt certified/trained in six sigma principles If you meet the requirements, I would love to hear from you - APPLY NOW#business analyst #data analyst #data completionsTo be considered for the role click the 'Apply' button or for more information about this and other opportunities please contact Kiernan McNeill on 02 9464 5573. Please quote our job reference number: 200186549.",data-analyst,https://www.seek.com.au/job/38955741?type=standout&searchrequesttoken=0120d07c-229e-40a6-b5f0-3c7676b2bcfd,Information Technology,business analyst,169000.0,Mid_level
188,Senior Business Analyst | Adelaide | $800 p/d | 12 Month + | Utilities,All-Sydney-NSW,Charterhouse,1 May 2019,na,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"This globally recognised utilities company is currently at the forefront of their market and have continued to grow from strength to strength.  With several recent client wins combined with new implementations and projects, the need for a Senior BA has emerged to join their highly experienced and professional team.  In this role you will play a pivotal part in gathering requirements and analysis.  You will have a strong background working on data migration or integration projects with business process and redesign skills. Responsibilities  Responsible for investigating business systems, identifying options for improving business systems and bridging the needs of the business with the use of IT.  Application and adherence to approved business analysis, project management and solution development methodologies and processes.  Identifying, documenting and qualifying systems / business improvement opportunities through consultation with IT personnel and business stakeholders   Management of resolution of application and technical environment issues raised by business stakeholders  Identify and drive efficiency improvement opportunities for the testing and release of changes to Group IT systems.  Developing analysis and solution presentations for stakeholders  Managing self and assigned personnel to meet agreed service and solution availability KPIs, quality assurance standards, budget targets and deliverable timeframes.  Enhancing stakeholder relations through the delivery and adherence to agreed communication and consultation strategies.  Identifying and implementing continuous improvement and optimisation strategies related to business case development and business analysis practices.  Leading or participating in ad hoc teams and administering processes to ensure cost-effective timely delivery of quality products and outcomes targeted by assigned initiatives or work packages.  Ensuring all systems & business analysis functions are aligned to the Group IT strategic plan.  Lead multiple enhancements from conception to delivery.  Performing the role of Project Manager on less complex projects as agreed with Applications Manager and Project Delivery Manager.  Planning and scoping of inter-related initiatives and helping senior-level business stakeholders make informed decisions about which initiatives to tackle and how to tackle them.  Working closely with the Enterprise Architecture group to align initiatives to the roadmap.  Identify overlapping functions and interdepartmental dependencies, and recommending solutions that benefit the whole company.  Providing technology or process consultancy to the business units.  Mentoring and development of other Business Analysts within the team.  Ability to act as Business Analysts Manager as required.  To be successful for this position you will need to display:  Senior BA background ideally having worked for a Utilities or similar type Industry Strong Business Process and Redesign experience Experience working on data migration / integration projects highly desirable Has worked on multiple large and complex multi-million dollar projectsIf you have the above experience and want to join a fun, fast paced passionate team please forward your resume to julians@charterhouse.com.au or call me on 9641 2453.",data-analyst,https://www.seek.com.au/job/38919333?type=standard&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,208000.0,Senior_level
189,HCM Reporting Analyst,All-Sydney-NSW,Finite IT Recruitment Solutions,2 May 2019,$800 per day,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"HCM Reporting Analyst9 month contract opportunity working for a leading FMCG, you will be working within the HR department tasked with producing high level reports within SAP HCM. You will be using Spinifex Easy Reporter extensively so previous experience is necessary!Responsibilities:Produce adhoc reporting on an as needs basisPerform data integrity reporting within SuccessFactors & SAP and highlight data issues found to appropriate team for resolutionProduce data reporting and analytics from Spinifex within agreed People Services SLA’s (48 hrs) or as agreed with stakeholder if outside SLAProvide great customer service to stakeholders, continually exceeding expectationsEnsure accurate and complete documentation is maintainedAct as a systems analyst for changes requiredLook to improve integration's through data extracts from SpinifexSkills and Experience:Strong verbal and written communication skillsAdvanced reporting and problem solving skillsData analysis and presentationEffective business partnering skillsHighly proficient in Microsoft Office applications in particular advanced excel skillsAbility to think creatively, understand stakeholders needs in order to realise opportunitiesBasic understanding of Human Resource Information Systems Understanding of Hire 2 Retire lifecycle processes and the required administrationWorking knowledge of SAP HCM Must have experience in Spinifex Easy Reporter  ",data-analyst,https://www.seek.com.au/job/38925551?type=standard&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,data analyst,208000.0,Mid_level
190,Senior Business Analyst - Wealth Management,All-Sydney-NSW,Profusion Group Pty Ltd,1 May 2019,$750 to $850pd + Super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"Company Overview Working for a top-tiered financial services company in the Sydney CBD, with a national and international reach Role Overview A Senior Business Analyst with extensive Wealth Management (Ideally Financial Advice) experience is needed for an initial 6 month contract. The position will support a critical business project that will facilitate the transformation of the business in line with their strategic goals. You will work closely with a Project Manager to understand business impacts with an overall aim of improving the customer experience.  Gathering and eliciting business requirements  Designing and defining the target operating model   Gap analysis - identifying gaps in implementation plans Engaging with stakeholders, running workshops and documenting impacts  Skills & Experience  5+ years of Business BA experience Extensive Wealth Management experience  Experience working on large scale multi-year projects Excellent analytical skills for both the business and technology solutions Excellence communication   What's on Offer This top-tiered organisation is known for its collaborative and relational way of working, on large challenging projects within financial advice.   Competitive daily rate  Highly regarded leadership State of the art working location   Click on the ‘APPLY’ button or contact Taylor Scott on 02 9240 6380",data-analyst,https://www.seek.com.au/job/38922455?type=standard&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,195000.0,Senior_level
191,Business Improvement Specialist,All-Sydney-NSW,Hays Information Technology,3 May 2019,"$90,000 + Super",Full Time,Information & Communication Technology,Business/Systems Analysts,"Permanent Business Analyst Job with Major Government Agency, working on business improvement, Bankstown.  Your new company This leading Government Organisation has a vision of innovation and collaboration to deliver quality services across the community. In line with this, they are looking for a Business Improvement Analyst to assist with promotion and embedding change and continuous improvement within the organisation to drive customer centricity.   Your new role The role of Business Analyst will be responsible for;Identifying key business requirements from major stakeholdersProcess mapping analysis and identifying areas of business improvementsDeveloping the Future state business processes, controls and Operating proceduresFacilitate workshops with business stakeholders and deliver for the business transformationEnsures that “to be” process design adheres to the organisation strategic design.Assist in training Business Improvement Champions to implement the initiatives.   What you'll need to succeed To be successful in this role you will have;Experience working within the Business Improvement spaceStrong Communication and Stakeholder Management SkillsExperience using MS Office and Process Mapping toolsSix Sigma or relevant qualifications will be highly desiredThis is not an IT role, the candidate must have experience in non-IT projects.  What you'll get in return In return you will get the chance to join an organisation going through major improvement initiatives. On offer is a permanent role with a salary of $90k+super, located in Bankstown.   What you need to do now To apply for this role please send your resume to Rachael Lees at rachael.lees@hays.com.au.",data-analyst,https://www.seek.com.au/job/38935660?type=standout&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,90000.0,Mid_level
192,Business Analyst ,All-Sydney-NSW,Hudson,26 Apr 2019,$650 - $800 p.d. + Super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"A large organisation is seeking a Business Analyst with at least 5 years experience within customer driven projects, they have recently done a merger with another big organisation which has given them the opportunity to invest in new technology to increase their online footprint. The ideal candidate will have a proven track record as a Business Analyst, with strong communication skills to work with multiple different stakeholders across Australia.Key Responsibilities of a Business Analyst A minimum of 5 years as a Business Analyst, with demonstrated experience in customer journey and customer portal. Ability to drive outcomes through communicationWork closely with a variety of cross functional teams including UX and UI designersExcellent stakeholder management and influencing skillsStrong analytical and problem solving skillsStrong working knowledge of AgileCan do attitude that works well in a team environmentIndustry relevant certifications are desiredAbility to quickly develop an understanding of the project, its environment and related issuesAbility to work individually and as part of a team, providing support and guidance to fellow team membersFor more information on this role and similar project opportunities, click submit to upload your resume. Alternatively, email your resume to Nicola.mcintyre@hudson.com  ",data-analyst,https://www.seek.com.au/job/38882468?type=standout&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,208000.0,Mid_level
194,Senior business analyst,All-Sydney-NSW,2XM Technology Pty Ltd,6 May 2019,$800-850inc super,Contract/Temp,Information & Communication Technology,Business/Systems Analysts,"An opportunity has arisen for an experienced technical business analyst to join a large financial institution! You will be a part of various initiatives across the business in the infrastructure space - ranging from data centre, data remediation, citrix, visualisation and various other infrastructure related projects within Group IT. You will have the opportunity to assist in changing the landscape and creating a centre of excellence for project delivery across the organisation! Strong experience and depth of understanding in infrastructure, integration and transition experience.ABOUT YOU:  7+ Years' experience as a Senior IT BA  Technical Background in infrastructure  Strong analytical & critical thinking skills. Experience across many facets of infrastructure - data centres, EUC, networks and servers and various other  Knowledge of programming system design IT infrastructure and database designs  Strong stakeholder engagement skills to influence key initiative outcomes and delivery. Strong communication skills that aid gathering and sharing information Integration knowledge preferred Jira, Confluence, Teams or ServiceNow experience desirable A self-starter and motivated by outcomes who can work autonomously. Delivery focused. Strong core infrastructure experience ",data-analyst,https://www.seek.com.au/job/38947651?type=standout&searchrequesttoken=6d9edd69-1bcd-4921-b277-137d632be31d,Information Technology,business analyst,208000.0,Senior_level
